	Gene_ID	H_0	H_4	H_8	H_12	H0PA	H4PA	H8PA	H12PA	U_0	U_4	U_8	U_12	U0PA	U4PA	U8PA	U12PA	M_0	M_4	M_8	M_12	M0PA	M4PA	M8PA	M12PA	H4/H0_P_Value	H8/H0_pvalue	H12/H0_pvalue	U4/U0_pvalue	U8/U0_pvalue	U12/U0_pvalue	M4/M0_pvalue	M8/M0_pvalue	M12/M0_pvalue
CLPTM1L	NM_030782	9.590094826	9.567900257	9.487497999	9.470789856	P	P	P	P	10.2417133	10.13238359	10.12407763	10.08741954	P	P	P	P	11.77566727	11.77116737	11.75791611	11.69353529	P	P	P	P	0.9453	0.4219	0.2867	0.0333	0.0111	0.0014	1.0000	1.0000	0.2192
CLPX	NM_006660	8.504782619	9.14286612	9.597843067	9.388114715	P	P	P	P	7.937941085	8.075657821	8.331973594	8.117903986	P	P	P	P	9.185756846	9.018823113	9.010645803	9.013911203	P	P	P	P	0.0057	0.0001	0.0003	0.5701	0.0121	0.1593	0.8259	0.6338	0.5485
CLRN1	NM_052995	2.253604247	2.259225521	2.256299161	2.251164979	A	A	A	A	2.105030734	2.105907543	2.096232566	2.122886565	A	A	A	A	2.183076585	2.186380266	2.179513112	2.189476111	A	A	A	A	0.9243	0.9999	1.0000	0.9996	0.8604	0.3288	1.0000	1.0000	1.0000
CLRN3	NM_152311	1.884808449	1.888797115	1.885045937	1.88547602	A	A	A	A	1.803028129	1.806192628	1.798853029	1.813250954	A	A	A	A	1.720257371	1.723001716	1.718524496	1.720260871	A	A	A	A	0.9274	0.9999	1.0000	0.9996	0.8887	0.4720	1.0000	1.0000	1.0000
CLSPN	NM_022111	2.353279536	2.359938397	2.356076366	2.349845346	A	A	P	A	2.466788111	2.465826832	2.464411667	2.484577894	P	P	P	A	2.460258612	2.465595734	2.46115217	2.46224907	P	P	P	P	0.9198	0.9999	1.0000	0.9996	0.9470	0.3729	1.0000	1.0000	1.0000
CLSTN1	NM_014944	8.701734854	8.64970988	8.560704858	8.865794442	P	P	P	P	9.374360975	9.581140953	9.918892957	10.25578011	P	P	P	P	10.45132059	10.61698216	10.72812728	10.78241748	P	P	P	P	0.9059	0.2749	0.1667	0.0431	0.0001	0.0000	0.3455	0.0370	0.0111
CLSTN2	NM_022131	2.400722527	2.40812485	2.401328573	2.391705485	A	A	A	A	2.356816947	2.359563887	2.350861251	2.373328566	A	A	A	A	2.373074136	2.372090102	2.366650019	2.367287825	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8789	0.3233	1.0000	1.0000	1.0000
CLSTN3	NM_014718	6.408160546	7.037183593	6.719785327	6.713616304	P	P	P	P	2.95453276	2.939613327	2.953976817	3.703871304	A	A	A	A	2.624415826	2.629081798	2.627464806	2.630589058	A	A	A	A	0.0269	0.3221	0.3167	0.9996	0.9992	0.0468	1.0000	1.0000	1.0000
CLTA	NM_001833	11.53658352	11.604664	11.44817101	11.49015444	P	P	P	P	12.71241011	12.62886048	12.59672458	12.5694409	P	P	P	P	13.00353285	13.03574189	12.92957338	12.95278401	P	P	P	P	0.6550	0.4224	0.8289	0.2479	0.0494	0.0126	1.0000	0.3849	0.5951
CLTB	NM_001834	6.129901332	6.27392443	6.180217351	6.350057151	P	P	P	P	8.230165942	8.008643378	8.125271951	8.156251726	P	P	P	P	10.09929509	10.07148608	9.931380689	9.90748742	P	P	P	P	0.5412	0.9999	0.1864	0.1452	0.5128	0.4475	1.0000	0.1398	0.0660
CLTC	NM_004859	12.91708733	12.7615288	12.66137095	12.68512474	P	P	P	P	13.12163031	13.08939615	12.96518411	12.92995512	P	P	P	P	13.4816617	13.38955072	13.39494746	13.36753432	P	P	P	P	0.0205	0.0004	0.0008	0.9579	0.0155	0.0032	0.4268	0.3455	0.1265
CLTCL1	NM_007098	2.639167227	2.712112979	2.826529464	2.664900899	A	A	A	A	2.3426753	2.320930208	2.364546966	2.349372931	A	A	A	A	2.094048394	2.096267976	2.174005504	2.105686958	A	A	A	A	0.9138	0.3983	1.0000	0.9996	0.8442	0.8517	1.0000	0.7377	1.0000
CLU	NM_001831	10.9020185	11.05645592	10.97161364	10.7273257	P	P	P	P	10.25956771	10.17257879	10.13795261	10.32459286	P	P	P	P	8.005075475	8.023463728	8.034832536	8.013657162	P	P	P	P	0.1803	0.7492	0.0916	0.1183	0.0142	0.1166	1.0000	0.8822	1.0000
CLUAP1	NM_015041	2.611107188	2.269662814	1.98819284	2.315551575	A	A	A	P	2.058377438	1.998379312	1.991278464	2.085421235	P	P	A	P	3.840607039	3.913405922	4.086759799	4.007357038	A	A	A	P	0.8926	0.5312	0.9214	0.8985	0.6762	0.7215	1.0000	0.6278	0.8234
CLUL1	NM_014410	2.595514673	2.603737646	2.657407035	2.581943457	A	A	A	A	2.594673612	2.601740973	2.584281991	2.630703833	A	A	A	A	2.611098517	2.61367746	2.602888398	2.608405818	A	A	A	A	0.9786	0.4672	1.0000	0.9996	0.8677	0.1602	1.0000	1.0000	1.0000
CLYBL	NM_206808	3.322865075	3.321243658	3.184399571	3.311346772	A	A	A	A	2.65007689	2.641680584	2.713193748	2.648532743	A	A	A	A	2.151264217	2.157679497	2.151810113	2.153703541	A	A	A	A	0.9996	0.9607	1.0000	0.9996	0.7281	0.9843	1.0000	1.0000	1.0000
CMA1	NM_001836	2.25161797	2.257231392	2.255757536	2.245977815	A	A	A	A	2.283058665	2.286832076	2.269602765	2.306347599	A	A	A	A	2.2544268	2.259009116	2.252964331	2.258498205	A	A	A	A	0.9345	0.9999	1.0000	0.9996	0.8291	0.3004	1.0000	1.0000	1.0000
CMAS	NM_018686	6.27241428	5.702011163	5.982463508	6.546175041	P	P	P	P	9.17781587	8.857771817	8.947196964	8.871832677	P	P	P	P	8.741571686	8.470285543	8.468243771	8.643370235	P	P	P	P	0.2143	0.7025	0.6926	0.1700	0.2591	0.0808	0.0972	0.0564	0.6128
CMBL	NM_138809	5.042452107	5.103738694	5.040725282	4.759511359	P	P	P	P	5.347075821	5.345982638	5.332304555	5.410254111	P	P	P	P	8.205061722	8.235958914	8.223663588	8.230562882	P	P	P	P	0.8574	0.9999	0.0112	0.9996	0.8807	0.1748	1.0000	1.0000	0.9707
CMIP	NM_030629	8.651476083	9.016561059	9.224805417	9.408361707	P	P	P	P	8.005779888	8.514399183	9.201549038	9.401168844	P	P	P	P	9.68007734	9.534699778	9.60838619	9.724611079	P	P	P	P	0.0025	0.0000	0.0000	0.0192	0.0000	0.0000	0.4922	0.9186	1.0000
CMKLR1	NM_004072	2.339542851	2.344190563	2.337380614	2.33104001	A	A	A	A	2.196751729	2.195259225	2.180184233	2.214384554	A	A	A	A	2.288651888	2.296163669	2.288692344	2.297460398	A	A	A	A	0.9261	0.9999	0.8322	0.9996	0.7057	0.3882	1.0000	1.0000	1.0000
CMPK1	NM_016308	10.20499055	10.03690083	9.990925289	10.01458963	P	P	P	P	10.88262494	10.84714898	11.00465553	10.95469484	P	P	P	P	12.22644955	12.20161836	12.19971597	12.12391632	P	P	P	P	0.1938	0.0656	0.1000	0.9996	0.3314	0.4152	1.0000	1.0000	0.0597
CMPK2	NM_207315	2.562196173	2.573216702	2.567081276	2.550553154	A	A	A	A	2.535243847	2.542181827	2.522677313	2.57301429	A	A	A	A	2.783636427	2.784631369	2.783203353	2.808435036	A	A	A	A	0.9176	0.9999	0.9305	0.9996	0.8580	0.1688	1.0000	1.0000	0.9982
CMTM1	NM_052999	2.020447102	2.024748909	2.021594992	2.019386086	A	A	A	A	1.95829394	1.960074449	1.952736944	1.971598718	A	A	A	A	1.898900886	1.904162525	1.898695702	1.901490788	A	A	A	A	0.9281	0.9999	1.0000	0.9996	0.8795	0.3841	1.0000	1.0000	1.0000
CMTM2	NM_144673	2.262186528	2.264045309	2.261769169	2.256884506	A	A	A	A	2.216829222	2.220870485	2.211405021	2.235157537	A	A	A	A	2.192514937	2.194433245	2.187539028	2.190275732	A	A	A	A	0.9839	0.9999	0.9909	0.9996	0.8849	0.2951	1.0000	1.0000	1.0000
CMTM3	NM_144601	7.119466667	7.956433849	8.650103892	8.404941223	P	P	P	P	7.000017042	6.873170599	6.912219084	6.846541408	P	P	P	P	3.451037562	3.415587719	3.487172213	3.424031025	P	P	P	P	0.0000	0.0000	0.0000	0.4103	0.5354	0.1161	1.0000	1.0000	1.0000
CMTM4	NM_178818	6.959819236	5.956250063	6.255591378	6.613053437	P	P	P	P	6.037833882	6.034033975	6.064671293	6.012356032	P	P	P	P	7.714603624	7.734202301	7.696911468	7.685275071	P	P	P	P	0.0001	0.0006	0.0543	0.9996	0.7215	0.4445	1.0000	1.0000	0.9074
CMTM5	NM_138460	2.121387176	2.140401866	2.127144167	2.131281387	A	A	A	A	1.803036254	1.84043046	1.798291856	1.810572417	A	A	P	A	1.888079225	1.89094778	1.887296208	1.888559001	A	A	A	A	0.2514	0.9999	0.6792	0.6662	0.9409	0.8236	1.0000	1.0000	1.0000
CMTM6	NM_017801	9.650407604	9.351988915	9.351712493	9.308694325	P	P	P	P	9.889934213	9.814741808	9.684710769	9.349259979	P	P	P	P	11.49349441	11.43222284	11.37358911	11.29321884	P	P	P	P	0.0001	0.0000	0.0000	0.8364	0.0780	0.0003	1.0000	0.4658	0.0970
CMTM7	NM_138410	8.562426741	8.108838568	8.247722648	8.116500041	P	P	P	P	7.748637851	7.928911683	7.930296989	7.801307546	P	P	P	P	10.93125082	10.8554991	10.83498663	10.81080718	P	P	P	P	0.0207	0.0962	0.0153	0.4215	0.2835	0.6556	1.0000	0.7434	0.4690
CMTM8	NM_178868	7.168679421	7.444243956	7.337891175	7.043878495	P	P	P	P	2.575295756	2.575888242	2.560360354	2.604380544	A	A	A	A	3.170978864	3.327576614	3.147781552	3.153267059	P	P	P	A	0.2489	0.5971	0.7624	0.9996	0.8405	0.2690	0.4640	1.0000	1.0000
CMYA5	NM_153610	2.456701957	2.468838847	2.46072506	2.451956407	A	A	A	A	2.507752061	2.513020395	2.496939357	2.536258924	A	A	A	A	2.403257334	2.406447967	2.404538163	2.403355008	A	A	A	A	0.8547	0.9999	1.0000	0.9996	0.8627	0.2380	1.0000	1.0000	1.0000
CNBD1	NM_173538	2.635635977	2.624241239	2.619800733	2.598818326	P	P	A	P	2.583434736	2.582436824	2.557936221	2.667462149	A	A	A	A	2.630933025	2.624525328	2.620997202	2.636606264	P	P	P	P	0.9151	0.8913	0.2368	0.9996	0.8707	0.1871	1.0000	1.0000	1.0000
CNBP	NM_003418	11.92394064	11.72847384	11.5432854	11.64367393	P	P	P	P	12.00220194	11.73157834	11.53320772	11.35366394	P	P	P	P	12.5453154	12.4672095	12.41170829	12.47633818	P	P	P	P	0.1678	0.0044	0.0264	0.0014	0.0000	0.0000	0.5790	0.0962	0.4410
CNDP1	NM_032649	1.946018829	1.948155034	1.94723758	1.946406347	A	A	A	A	1.872961879	1.874855044	1.867968846	1.881970625	A	A	A	A	1.794810035	1.798992544	1.793360821	1.795693612	A	A	A	A	0.9742	0.9999	1.0000	0.9996	0.8822	0.5168	1.0000	1.0000	1.0000
CNDP2	NM_018235	9.335065856	9.75474098	9.768500862	9.540222663	P	P	P	P	9.08069212	8.967648323	8.973966297	8.615913292	P	P	P	P	10.28544013	10.25683736	10.12602107	10.08537919	P	P	P	P	0.0024	0.0012	0.0967	0.2371	0.1742	0.0001	1.0000	0.4046	0.1862
CNFN	NM_032488	2.203558901	2.210464069	2.200473405	2.208125512	A	A	A	A	2.077710772	2.085428189	2.15253819	2.116843614	A	A	A	A	2.953982725	3.05570554	2.950913986	2.954644416	A	A	A	A	0.9881	0.9999	1.0000	0.9996	0.4724	0.5421	0.7883	1.0000	1.0000
CNGA1	NM_000087	2.371790948	2.376060249	2.370347693	2.368453642	A	A	A	A	2.157084409	2.157422896	2.144661028	2.17960089	A	A	A	A	3.49785173	3.743723082	3.653064876	3.81917528	P	P	P	P	0.9616	0.9999	1.0000	0.9996	0.8097	0.2591	0.3690	0.6190	0.0853
CNGA3	NM_001298	2.180831844	2.188523839	2.182877686	2.178680107	A	A	A	A	2.245669805	2.244762175	2.241031713	2.26598339	A	A	A	A	2.087356955	2.094423468	2.087140006	2.087897263	A	A	A	A	0.9156	0.9999	1.0000	0.9996	0.8931	0.2867	1.0000	1.0000	1.0000
CNGA4	NM_001037329	2.328848484	2.338839943	2.332373883	2.326650422	A	A	A	A	2.318494157	2.318799175	2.303403109	2.337259349	A	A	A	A	2.275763077	2.279832261	2.274696761	2.279928816	A	A	A	A	0.8922	0.9999	1.0000	0.9996	0.6647	0.3076	1.0000	1.0000	1.0000
CNGB1	NM_001297	2.531243737	2.536677038	2.52856569	2.52125583	A	A	A	A	2.382790572	2.383865513	2.370450632	2.405301468	A	A	A	A	2.377242204	2.380143411	2.373050424	2.377394724	A	A	A	A	0.9327	0.9999	0.8702	0.9996	0.8456	0.3155	1.0000	1.0000	1.0000
CNGB3	NM_019098	2.658341476	2.670947349	2.660023755	2.64745285	A	A	A	A	2.651083102	2.669761803	2.65618834	2.69239721	A	A	A	A	2.690815909	2.688731512	2.69145158	2.693674444	A	A	A	A	0.8956	0.9999	0.9263	0.8972	0.9102	0.1377	1.0000	1.0000	1.0000
CNIH	NM_005776	10.85677787	10.71781072	11.26248942	11.23813527	P	P	P	P	11.03336574	11.05226755	11.00389451	10.80769834	P	P	P	P	12.27180953	12.30600945	12.29098337	12.25388205	P	P	P	P	0.3711	0.0021	0.0028	0.9996	0.8840	0.0348	1.0000	1.0000	1.0000
CNIH2	NM_182553	1.879050068	1.879142752	1.880750499	1.881535551	A	A	A	A	2.462943446	2.337178355	2.62389509	2.742562939	A	A	A	A	1.712707771	1.720016109	1.715391228	1.716225695	A	A	A	A	0.9996	0.9999	1.0000	0.9987	0.7185	0.2098	1.0000	1.0000	1.0000
CNIH3	NM_152495	2.662160837	2.685942072	2.669396852	2.640592673	A	A	A	A	8.496177069	8.085294683	7.576600678	7.170174346	P	P	P	P	8.197810406	8.033752158	8.154745241	7.719463272	P	P	P	P	0.7997	0.9999	0.7973	0.0397	0.0002	0.0000	0.9350	1.0000	0.0505
CNIH4	NM_014184	9.895080946	9.355770338	9.475448912	9.845855651	P	P	P	P	11.7213778	11.68040524	11.64550317	11.58421975	P	P	P	P	12.23011276	12.28277356	12.26109194	12.21061579	P	P	P	P	0.0003	0.0013	0.9280	0.9996	0.5381	0.1070	1.0000	1.0000	1.0000
CNKSR1	NM_006314	3.907120843	4.102661388	4.030178135	3.902713414	P	P	P	P	2.187268143	2.193809876	2.176851723	2.202488784	A	A	A	A	3.607155086	3.642242128	3.419554638	3.523077796	P	P	P	P	0.8452	0.9999	1.0000	0.9996	0.8421	0.3847	1.0000	0.2321	0.7614
CNKSR2	NM_014927	2.199116374	2.215206574	2.198930262	2.19698175	A	A	A	A	2.158467898	2.163172912	2.156704386	2.173165368	A	A	A	A	2.113273413	2.118551432	2.1125967	2.115268789	A	A	A	A	0.6568	0.9999	1.0000	0.9996	0.9504	0.3529	1.0000	1.0000	1.0000
CNKSR3	NM_173515	7.66101922	8.594981571	7.724117483	7.355897162	P	P	P	P	1.996410625	2.000547158	1.989162668	2.013286711	A	A	A	A	4.622057169	4.82205393	4.622315181	4.620257872	P	P	P	P	0.0000	0.9999	0.0449	0.9996	0.8680	0.3149	0.3920	1.0000	1.0000
CNN1	NM_001299	2.07406984	2.074863216	2.076485842	2.072191548	A	A	A	A	2.012865046	2.016180284	2.0093876	2.036348302	A	A	A	A	1.957074166	1.958468476	1.952600207	1.955318324	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.9183	0.2379	1.0000	1.0000	1.0000
CNN2	NM_004368	8.709321572	9.725254769	9.561704186	9.219299488	P	P	P	P	7.69689938	7.570350305	7.609477155	7.609716557	P	P	P	P	10.0456577	9.925139068	9.839893492	9.897364269	P	P	P	P	0.0000	0.0000	0.0019	0.9480	0.8645	0.6178	0.7415	0.1745	0.3283
CNN3	NM_001839	9.234964318	9.32450425	9.522406989	9.317298534	P	P	P	P	5.966467192	5.695331644	5.487919205	5.513681225	P	P	P	P	10.50497104	10.57868494	10.61145156	10.69211365	P	P	P	P	0.9214	0.3727	0.9966	0.4274	0.0491	0.0427	1.0000	0.7893	0.2650
CNNM1	NM_020348	6.429586212	6.494884963	6.173628831	5.646733727	P	P	P	P	2.3511661	2.349882805	2.334723355	2.37312529	A	P	A	A	2.327713137	2.33321624	2.325033136	2.325780864	P	P	A	A	0.9821	0.9941	0.1824	0.9996	0.6874	0.2921	1.0000	1.0000	1.0000
CNNM2	NM_017649	4.83426527	5.206965449	4.787151853	4.406297537	P	P	P	P	2.194993492	2.231543955	2.223726169	2.225193473	P	P	P	P	1.903159229	1.905895446	1.899872788	1.902763318	P	P	P	P	0.1197	0.9999	0.0508	0.2444	0.2879	0.1697	1.0000	1.0000	1.0000
CNNM3	NM_017623	9.2316899	9.285748771	9.030932742	8.776563794	P	P	P	P	3.729483653	4.690116721	4.870964951	4.722758979	P	P	P	P	7.367825408	7.736135297	7.676407972	7.264972882	P	P	P	P	0.9214	0.2482	0.0045	0.0006	0.0001	0.0001	0.3363	0.3511	1.0000
CNNM4	NM_020184	3.198319304	3.208806248	3.356885891	3.202838949	A	A	A	A	2.475255507	2.46037465	2.440865633	2.560911285	A	A	A	A	2.570848641	2.65490096	2.565969484	2.570996758	A	A	A	A	0.9855	0.1151	1.0000	0.9996	0.8135	0.1458	0.8160	1.0000	1.0000
CNO	NM_018366	8.579389768	8.630869962	8.384737885	8.451097996	P	P	P	P	7.450551642	7.42405789	7.52484579	7.546054924	P	P	P	P	9.152306205	9.177722965	9.114269829	9.137519158	P	P	P	P	0.9243	0.3145	0.6084	0.9996	0.8343	0.4220	1.0000	0.9865	1.0000
CNOT1	NM_016284	9.886340045	9.547347248	9.450712853	9.315546196	P	P	P	P	8.875801169	8.958666007	8.781546978	8.850131412	P	P	P	P	8.658553231	8.688419891	8.690926872	8.666493229	P	P	P	P	0.0009	0.0001	0.0000	0.5376	0.2966	0.6814	1.0000	0.8861	1.0000
CNOT10	NM_015442	6.764592563	6.728363648	6.695406766	6.764029301	P	P	P	P	8.056170372	8.127467482	7.810816371	7.691393349	P	P	P	P	7.315251264	7.381371359	7.328974246	7.340475567	A	A	P	A	0.9397	0.9895	1.0000	0.9996	0.3279	0.0785	1.0000	1.0000	1.0000
CNOT2	NM_014515	8.734892637	8.698815375	9.083414261	8.944745101	P	P	P	P	9.083648269	9.067679184	9.130628663	9.066331366	P	P	P	P	9.321209898	9.340715524	9.356163295	9.286581914	P	P	P	P	0.9126	0.0004	0.0142	0.9996	0.6329	0.7288	1.0000	1.0000	1.0000
CNOT3	NM_014516	7.636944023	7.551129193	7.609050431	7.482123	P	P	P	P	7.967791639	7.76145427	7.719943898	7.759588338	P	P	P	P	7.922337323	7.787569935	7.768735422	7.707210006	P	P	P	P	0.7015	0.9999	0.2149	0.0060	0.0009	0.0015	1.0000	0.8573	0.4934
CNOT4	NM_013316	3.419274423	3.382006435	3.416089596	3.499472249	P	P	P	P	6.300914531	6.257120799	6.285375696	6.320124928	P	P	P	P	5.418240279	5.519157375	5.433009788	5.450197878	P	P	P	P	0.9451	0.9999	0.8815	0.5540	0.8713	0.5716	0.6164	1.0000	1.0000
CNOT6	NM_015455	7.173174943	7.029786928	6.858915259	7.05859557	P	P	P	P	7.951429518	7.910463341	8.111604927	7.875622015	P	P	P	P	8.99663933	9.03483166	9.079686122	8.990968571	P	P	P	P	0.5770	0.0603	0.6807	0.9996	0.0664	0.2905	1.0000	0.4438	1.0000
CNOT6L	NM_144571	3.498780659	3.296976018	3.62998615	3.643568616	P	P	P	P	5.25577919	5.353958152	5.306018178	5.249265405	P	P	P	P	5.264041946	5.217578163	5.20760917	5.217202777	P	P	P	P	0.4125	0.7266	0.6109	0.3322	0.6859	0.9092	1.0000	0.8246	0.8520
CNOT7	NM_013354	11.34178143	10.8948447	11.20724779	11.33878299	P	P	P	P	11.47522371	11.38056178	11.4089541	11.34917061	P	P	P	P	11.48818526	11.51280201	11.54865839	11.56521752	P	P	P	P	0.0021	0.3962	1.0000	0.0387	0.0856	0.0025	1.0000	0.5071	0.2485
CNOT8	NM_004779	7.429421958	8.935639123	9.165581328	9.668365345	P	P	P	P	8.894977082	10.09222386	10.48005042	10.56953428	P	P	P	P	9.285960483	10.00434373	10.21327481	10.100486	P	P	P	P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000
CNP	NM_033133	8.156285619	7.776024676	7.682880312	7.442353212	P	P	P	P	7.188238162	7.203762715	7.087524378	7.093895231	P	P	P	P	8.551291253	8.56249294	8.49341049	8.505301441	P	P	P	P	0.0039	0.0005	0.0000	0.9996	0.4230	0.2881	1.0000	0.4312	0.5270
CNPY2	NM_014255	10.90451563	9.776972143	10.0168486	10.18980465	P	P	P	P	10.36356913	10.26648823	10.30196297	10.32634765	P	P	P	P	9.659164562	9.7807481	9.77905941	9.793846251	P	P	P	P	0.0000	0.0000	0.0000	0.6839	0.8157	0.6784	0.3658	0.2576	0.1453
CNPY3	NM_006586	7.522817151	7.548429431	7.424549084	7.486340224	P	P	P	P	5.126673199	5.001012741	5.037861979	5.203729099	P	P	P	P	9.093038867	9.199056861	9.311236746	9.197254574	P	P	P	P	0.9315	0.4142	0.9484	0.7296	0.7978	0.5351	0.7165	0.0830	0.4680
CNPY4	NM_152755	2.230995053	2.23354338	2.226215436	2.22953342	P	P	P	P	6.749383846	6.625628934	6.884989337	6.86182855	P	P	P	P	6.126929218	6.229083443	6.503470704	6.376369313	P	P	P	P	0.9867	0.9999	1.0000	0.5769	0.3630	0.3029	1.0000	0.0480	0.1606
CNR1	NM_016083	2.158104416	2.16296591	2.161569148	2.156297726	A	A	A	A	2.066293537	2.069894398	2.058110444	2.088511266	A	A	A	A	2.014870462	2.017831289	2.012307941	2.016162343	A	A	A	A	0.9284	0.9999	1.0000	0.9996	0.8638	0.2304	1.0000	1.0000	1.0000
CNR2	NM_001841	2.442443977	2.439474056	2.436018916	2.562759784	P	A	A	A	2.355701034	2.368763083	2.384019213	2.374787218	A	P	A	A	2.402453048	2.428325321	2.389092411	2.476021732	P	P	P	P	0.9996	0.9999	0.6779	0.9996	0.4091	0.4061	1.0000	1.0000	0.6583
CNRIP1	NM_015463	2.337437839	2.349240793	2.342980796	2.338016704	A	A	A	A	9.775330337	9.848709085	9.764797828	9.516465513	P	P	P	P	2.309062598	2.318744046	2.314345808	2.320732032	A	A	A	A	0.8252	0.9999	1.0000	0.7220	0.9380	0.0076	1.0000	1.0000	1.0000
CNTD1	NM_173478	2.150436873	2.157851913	2.155956243	2.159544521	A	A	A	A	2.009310371	2.011700751	2.002166429	2.023643498	A	A	A	A	2.055893721	2.060408598	2.054168033	2.057530622	A	A	A	A	0.9125	0.9999	0.8422	0.9996	0.8704	0.3748	1.0000	1.0000	1.0000
CNTD2	NM_024877	2.161301186	2.015237217	2.011067003	2.010874888	A	A	A	A	1.998564863	2.001394233	1.994836085	2.008006532	A	A	A	A	1.870253469	1.87337649	1.870133207	1.869617185	A	A	A	A	0.3121	0.2621	0.2467	0.9996	0.8926	0.4941	1.0000	1.0000	1.0000
CNTF	NM_000614	1.773108156	1.773110581	1.774007973	1.775915554	A	A	A	A	1.677451125	1.679787229	1.672704816	1.683928925	A	A	A	P	1.577109538	1.580370684	1.576971336	1.577742926	A	A	P	A	0.9999	0.9999	1.0000	0.9996	0.8839	0.6328	1.0000	1.0000	1.0000
CNTFR	NM_001842	4.338060476	4.591210712	4.343340485	4.362955413	A	A	A	A	2.353760618	2.356153929	2.342374317	2.366736105	A	A	A	A	2.233165539	2.237823765	2.232401262	2.233950547	A	A	A	A	0.1276	0.9999	1.0000	0.9996	0.7852	0.4168	1.0000	1.0000	1.0000
CNTLN	NM_017738	1.874158166	1.873969051	1.873973245	1.8739527	A	A	A	A	1.801117537	1.792278596	1.78871453	1.807219494	A	A	A	A	1.967008609	1.969766527	1.9636344	1.970307892	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.7344	0.6911	1.0000	1.0000	1.0000
CNTN1	NM_001843	2.34562729	2.354449114	2.34756656	2.348169629	A	A	A	A	2.11898746	2.120970633	2.11254158	2.139281175	A	A	A	A	2.30224885	2.306410811	2.298613279	2.304610636	A	A	A	A	0.8788	0.9999	1.0000	0.9996	0.8839	0.3102	1.0000	1.0000	1.0000
CNTN2	NM_005076	2.114786014	2.120497674	2.117354955	2.110019484	A	A	A	A	2.058467551	2.061353246	2.050463307	2.074145794	A	A	A	A	2.005922367	2.007684447	2.002428953	2.004214054	A	A	A	A	0.9243	0.9999	1.0000	0.9996	0.8644	0.3576	1.0000	1.0000	1.0000
CNTN3	NM_020872	2.483596979	2.493273663	2.487331583	2.472049972	A	A	A	A	2.469114315	2.476696567	2.456318619	2.508298758	A	A	A	A	2.470220854	2.471823197	2.467197684	2.467741201	A	A	A	A	0.9138	0.9999	0.8662	0.9996	0.8622	0.1789	1.0000	1.0000	1.0000
CNTN4	NM_175607	2.615897818	2.632943016	2.615417083	2.591924503	A	A	A	A	2.640626789	2.653302346	2.633142206	2.702746953	A	A	A	A	2.693940857	2.711155396	2.704155347	2.707176343	A	A	A	A	0.8626	0.9999	0.6167	0.9996	0.9077	0.1177	1.0000	1.0000	1.0000
CNTN5	NM_014361	2.458655303	2.473385693	2.461484768	2.456191778	A	A	A	A	2.603453106	2.618052811	2.600512251	2.635520211	A	A	A	A	2.604250782	2.597798726	2.589013866	2.593579676	A	A	A	A	0.7575	0.9999	1.0000	0.9996	0.9488	0.2393	1.0000	1.0000	1.0000
CNTN6	NM_014461	2.857899034	2.867959015	2.878982673	2.839658028	A	A	A	A	2.685260804	2.695784844	2.678594192	2.744284211	A	A	A	A	2.923896858	2.933098374	2.927100278	2.941123826	A	A	A	A	0.9309	0.8720	0.8665	0.9996	0.8979	0.0661	1.0000	1.0000	1.0000
CNTNAP1	NM_003632	5.619730951	5.73371326	5.536042942	5.831652716	P	P	P	P	7.096377382	7.209705082	7.445545022	7.267185499	P	P	P	P	7.738222246	7.761447228	8.166220893	8.134094524	P	P	P	P	0.7790	0.9714	0.2731	0.9996	0.1452	0.3637	1.0000	0.1055	0.1057
CNTNAP2	NM_014141	2.552560643	2.564044514	2.566560123	2.545422465	A	A	A	A	2.584942789	2.592088264	2.569431641	2.644687969	A	A	A	A	2.618097309	2.624181881	2.617902323	2.632347672	A	A	A	A	0.9186	0.9851	1.0000	0.9996	0.8483	0.0633	1.0000	1.0000	1.0000
CNTNAP4	NM_033401	2.324796153	2.337304661	2.324307653	2.323768659	A	A	A	A	2.239735068	2.243303904	2.234732748	2.264441993	A	A	A	A	2.533252185	2.531871911	2.521006638	2.533884228	A	A	A	A	0.7401	0.9999	1.0000	0.9996	0.8895	0.2073	1.0000	1.0000	1.0000
CNTNAP5	NM_130773	1.922340893	1.921818619	1.923901916	1.922113657	A	A	A	A	1.866040766	1.86899669	1.861536178	1.883196042	A	A	A	A	1.798498614	1.799591296	1.794102685	1.795473207	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8879	0.2880	1.0000	1.0000	1.0000
CNTROB	NM_053051	4.323531221	4.387385735	4.286855824	4.301711833	A	A	A	A	6.538418479	6.595856872	6.572281511	6.809612679	A	P	A	A	7.009423746	7.025018408	7.024415513	7.018471899	A	A	A	A	0.7194	0.9999	1.0000	0.8181	0.8593	0.0032	1.0000	1.0000	1.0000
COASY	NM_025233	10.13253301	9.843032645	10.03568056	10.10432464	P	P	P	P	8.791633944	8.721894328	8.588754882	8.710831417	P	P	P	P	8.659945847	8.713687408	8.6798877	8.694720377	P	P	P	P	0.0198	0.5931	1.0000	0.7434	0.0346	0.2963	1.0000	1.0000	1.0000
